context,question,answer,no_of_hops
"[['Eye to the Telescope (magazine)', ['Eye to the Telescope is a quarterly online journal of the Science Fiction Poetry Association, which publishes speculative poetry, including science-fiction, fantasy, horror, and poetry.', 'It was established in 2011.', 'It is a theme-based periodical with rotating editors.', 'The first issue, in May 2011, had the theme ""The Long and Short of Speculative Poetry,"" and featured both short poems, including haiku, tanka, and other short poems, contrasted with long poems.', 'It was edited by Samantha Henderson and Deborah P Kolodji.', ""Since then the journal's editors are selected by the current SFPA president and change with each issue; as a result, editorial policies change with each issue as well.""]], ['Science Fiction Poetry Association', ['The Science Fiction & Fantasy Poetry Association (SFPA) was established as the Science Fiction Poetry Association in 1978 by Suzette Haden Elgin to bring together poets and readers interested in science fiction poetry.', 'In 2015 the president of the SFPA was Bryan D. Dietrich, with Bryan Thao Worra starting as president in September 2016, with Vice-President Sandra J. Lindow and Secretary Shannon Connor Winward.', 'In 2017, members of the Science Fiction Poetry Association voted to change the name of the organization to the Science Fiction & Fantasy Poetry Association, while keeping the acronym ""SFPA"", similar to the Science Fiction and Fantasy Writers of America.']]]",What the concatenation of the first and last digits of when the publisher of Eye To The Telescope (Magazine) was founded?,18,3
"[['Hugh Montgomerie, 7th Earl of Eglinton', ['Hugh Montgomerie, 7th Earl of Eglinton (1613–1669), was the son of Alexander Montgomerie, 6th Earl of Eglinton and Anne Livingstone.', 'A student of Glasgow University, 1628', ""; he opposed Charles I's ecclesiastical policy."", 'He was a colonel under Leslie at the Battle of Newburn.', 'He failed to seize Tynemouth in 1640.', 'He was engaged in northern campaign under Middleton in 1646.', 'He was defeated by Huntly at the Battle of Aberdeen (1646), He was disqualified for public service until 1660 for being accessory to the Engagement.', ""He was taken prisoner in 1651 by the English and excepted from Cromwell's Act of Grace in 1654."", 'Hugh married Anne Hamilton in 1631 but she died soon after giving birth to a daughter, Anna Montgomerie.', 'In 1635 he married Mary Leslie.', 'His daughter Lady Margaret married the second Earl of Loudoun and was the mother of Hugh Campbell, 3rd Earl of Loudoun (c. 1675 – 1731).']], ['Alexander Montgomerie, 6th Earl of Eglinton', ['Alexander Montgomerie, 6th Earl of Eglinton (1588–1661), originally known as Sir Alexander Seton of Foulstruther, was the third son of Robert Seton, 1st Earl of Winton by his wife Lady Margaret Montgomerie, daughter of Hugh Montgomerie, 3rd Earl of Eglinton.', 'In 1612, after spending some time in Paris, and visting the exiled minister John Welsh of Ayr, he succeeded his childless cousin Hugh Montgomerie, 5th Earl of Eglinton, as Earl of Eglinton.', 'The 5th Earl had made a resigned and settled of the earldom and entail on Seton provided Seton took the name and arms of Montgomerie.', 'This was confirmed by King James VI in 1615.', 'Montgomerie\'s uncle Alexander Seton called the three year struggle for his nephew\'s earldom ""this over langsome and fashious besines of Eglintoun"".', 'Montgomerie petitioned against the imposition of Common Prayer Book in Scotland and assisted in the preparations of the National Covenant.', 'He was a Privy Councillor of Scotland in 1641.', 'Montgomerie, who was commonly known as ""Greysteel"", commanded a Scottish regiment of horse (cavalry) for the English Parliament and distinguished himself at the Battle of Marston Moor (1644).', 'On the execution of Charles I in 1649 he supported the recall of Charles II and the policy of the Marquess of Argyll.', 'In 1651 he was betrayed to Oliver Cromwell and detained in Edinburgh Castle, but afterwards allowed the liberty of Berwick.', ""His estates sequestered for two years, and he was included in Cromwell's Act of Grace."", 'In 1612 Alexander married Anne Livingstone, daughter of Alexander Livingstone, 1st Earl of Linlithgow and Helenor Hay, she had been a lady in waiting to Princess Elizabeth and Anne of Denmark.']]]","How many consonants are there in the last name of Hugh Montgomerie, 7Th Earl Of Eglinton's paternal grandmother?",6,2
"[['John Farrow', ['John Villiers Farrow, KGCHS (10 February 190427 January 1963) was an Australian-born American film director, producer and screenwriter.', 'In 1957, he won the Academy Award for Best Writing/Best Screenplay for ""Around the World in Eighty Days"" and in 1942, he was nominated as Best Director for ""Wake Island"".', ""He had seven children by his wife, actress Maureen O'Sullivan, including actress Mia Farrow.""]], ['Sorority House (film)', ['Sorority House is a 1939 American drama film starring Anne Shirley and James Ellison.', 'The film was directed by John Farrow and based upon the Mary Coyle Chase play named ""Chi House"".']]]",How many consonants are there in the last name of the spouse of the director of film Sorority House (Film)?,5,2
"[['Brenda Brave', ['Brenda Brave (original title: Kajsa Kavat) is a 1989 Swedish film directed by Daniel Bergman and based on the novel ""Brenda Brave', 'Helps Grandmother"" by Astrid Lindgren.']], ['Daniel Bergman', ['Daniel Sebastian Bergman (born 7 September 1962) is a Swedish film director.', 'He is the son of Ingmar Bergman and Käbi Laretei.', 'As a child, Bergman appeared in a 1967 Swedish program called ""Stimulantia"", which consisted of eight episodes, one of which was directed by his father Ingmar.', ""The short, 10-minute film focuses on the first two years of Daniel's life."", 'His mother Käbi is also seen.', 'He was the assistant director of Andrei Tarkovsky on Offret (The Sacrifice, 1986).', 'Bergman directed an episode of the Swedish horror series ""Chock"", with Ernst-Hugo Järegård.', 'Bergman\'s independent ability as a director was seen as compromised following the 1992 film ""Sunday\'s Children"", which he directed with his father providing the screenplay.', 'The film was seen in Swedish reviews as an attempt by Ingmar to boost the career of his son.']]]",How many consonants are there in the last name of the mother of the director of film Brenda Brave?,3,2
"[['Mervyn Tuchet, 4th Earl of Castlehaven', ['Mervyn Tuchet, 4th Earl of Castlehaven (died 2 November 1686) was the third son of Mervyn Tuchet, 2nd Earl of Castlehaven, and his first wife, Elizabeth Barnham (1592 – c. 1622).', 'He married Mary Talbot (buried 15 March 1710/1), daughter of John Talbot, 10th Earl of Shrewsbury (bef.', '1601–1654) and his wife, née Mary Fortesque.', 'They had at least three children:', 'He succeeded his brother James as Earl of Castlehaven on 11 October 1684.', 'He also held the lower titles 14th Baron Audley and 2nd Baron Audley of Hely.', 'On his death, his titles passed to his son James.']], ['James Tuchet, 5th Earl of Castlehaven', ['James Tuchet, 5th Earl of Castlehaven( died 12 August 1700) was the son of Mervyn Tuchet, 4th Earl of Castlehaven and Mary Talbot.', 'He succeeded his father as Earl of Castlehaven on 2 November 1686.', 'He married Anne Pelson, daughter of Richard Pelson and his wife, née Anne Villiers, daughter of Christopher Villiers, 1st Earl of Anglesey.', 'They had one son, James, who succeeded him as Earl of Castlehaven.', 'He died of apoplexy.', 'His gravestone is in the floor of the south aisle of the retrochoir at Winchester Cathedral.']]]","How many consonants are there in the last name of James Tuchet, 5Th Earl Of Castlehaven's paternal grandmother?",5,2
"[['Abaqa Khan', ['Abaqa Khan (1234–1282, , ""paternal uncle"", also transliterated Abaġa), was the second Mongol ruler (""Ilkhan"") of the Ilkhanate.', 'The son of Hulagu Khan and Lady Yesünčin.', 'He was the grandson of Tolui and reigned from 1265 to 1282 and was succeeded by his brother Tekuder.', ""Much of Abaqa's reign was consumed with civil wars in the Mongol Empire, such as those between the Ilkhanate and the northern khanate of the Golden Horde."", 'Abaqa also engaged in unsuccessful attempts at military invasion of Syria, including the Second Battle of Homs.']], ['Hulagu Khan', ['Hulagu Khan, also known as Hülegü or Hulegu (""Hulâgu xân""; Arabic: هولاكو خان/ هَلَاوُن; ; 8 February 1265), was a Mongol ruler who conquered much of Western Asia.', 'Son of Tolui and the Keraite princess Sorghaghtani Beki, he was a grandson of Genghis Khan and brother of Ariq Böke, Möngke Khan, and Kublai Khan.', ""Hulagu's army greatly expanded the southwestern portion of the Mongol Empire, founding the Ilkhanate of Persia, a precursor to the eventual Safavid dynasty, and then the modern state of Iran."", ""Under Hulagu's leadership, the siege of Baghdad (1258) destroyed Baghdad's standing in the Islamic world and weakened Damascus, causing a shift of Islamic influence to the Mamluk Sultanate in Cairo and ended the Abbasid Dynasty.""]]]",How many fewer letters does the last name of Bradford Estes have compared to the first name of Abaqa Khan's paternal grandmother?,7,5
"[['Chiang Hsiao-wu', ['Chiang Hsiao-wu (also known as Alex Chiang; April 25, 1945 - July 1, 1991) was the second son of Chiang Ching-kuo, the President of the Republic of China in Taiwan from 1978 to 1988.', 'His mother is Faina Ipatyevna Vakhreva, also known as Chiang Fang-liang.', 'He had one older brother, Hsiao-wen, one older sister, Hsiao-chang, and one younger brother, Hsiao-yung.', 'He also had two half-brothers, Winston Chang and John Chiang, with whom he shared the same father.', 'He was president of the state-run Broadcasting Corporation of China from 1980 to 1986, and later headed the Republic of China mission to Singapore for two years, starting in April 1986 as the deputy trade representative before being transferred to the mission to Japan in 1990.', ""In a December 1985 speech, Hsiao-wu's father Chiang Ching-kuo declared ″If someone asks me whether anyone in my family would run for the next presidential term, my reply is, ′It can't be and"", ""it won't be.′″ Prior to the speech, Chiang Hsiao-wu was the only one of Chiang Ching-kuo's sons mentioned as a potential successor."", 'He died at the age of 46, on July 1, 1991, at the Taipei Veterans General Hospital in Taiwan as a result of congestive heart failure brought on by chronic inflammation of the pancreas.', 'He was survived by his wife and two children.']], ['Chiang Ching-kuo', ['Chiang Ching-kuo (27 April 1910 – 13 January 1988) was a politician of the Republic of China.', 'The eldest and only biological son of former president Chiang Kai-shek, he held numerous posts in the government of the Republic of China.', 'He served as Premier of the Republic of China between 1972–78 and was the President of the Republic of China from 1978 until his death in 1988.', ""Chiang Ching-kuo was sent as a teenager to study in the Soviet Union during the First United Front in 1925, when his father's Nationalist Party and the Chinese Communist Party were in alliance."", 'He attended university there, but when the Chinese Nationalists violently broke with the Communists, Stalin sent him to work in a steel factory in the Ural Mountains.', 'There he met and married Faina Vakhreva.', 'When war between China and Japan was imminent in 1937, Stalin sent the couple to China.', 'During the war his father gradually came to trust Ching-kuo and gave him more and more responsibilities, including administration.', 'After the Japanese surrender, Chiang-kuo was given the job of ridding Shanghai of corruption, which he attacked with ruthless efficiency.', 'The victory of the Communists in 1949 drove the Chiangs and their government to Taiwan.', 'Chiang Ching-kuo was first given control of the secret police, a position he retained until 1965 and in which he used arbitrary arrests and torture to ensure tight control.', 'He then became Minister of Defense 1965-1969, Vice-Premier, 1972-78, Premier, 1972-78.', ""After his father's death in 1976 he took leadership of the Nationalist Party as Chairman, and was elected President of the Republic in 1978."", 'Under his tenure, the government of the Republic of China, while authoritarian, became more open and tolerant of political dissent.', 'Chiang courted Taiwanese voters and reduced the preference for those who had come from the mainland after the war.', 'Towards the end of his life, Chiang relaxed government controls on the media and speech and allowed Taiwanese Han into positions of power, including his successor Lee Teng-hui.']]]",How many fewer letters does the last name of Melvin Johns have compared to the first name of the paternal grandfather of Chiang Hsiao-Wu?,1,5
"[['American Scientist', ['American Scientist (informally abbreviated AmSci) is an American bimonthly science and technology magazine published since 1913 by Sigma Xi, The Scientific Research Society.', 'Each issue includes feature articles written by prominent scientists and engineers who review research in fields from molecular biology to computer engineering.', 'Each issue also includes the work of cartoonists, including those of Sidney Harris, Benita Epstein, and Mark Heath.', 'Also included is the ""Scientists\' Nightstand"" that reviews a vast range of science-related books and novels.', 'American Scientist Online  was launched in May 2003.']], ['Sigma Xi', ['Sigma Xi: The Scientific Research Honor Society (ΣΞ) is a non-profit honor society for scientists and engineers which was founded in 1886 at Cornell University by a junior faculty member and a handful of graduate students.', 'Members elect others on the basis of their research achievements or potential.']]]",What is the year 7 years after when the publisher of American Scientist was founded?,1893,1
"[['Doğan Media Group', ['Doğan Media Group (""Doğan Yayın Holding A.Ş."") was a Turkish media conglomerate, part of the Doğan Holding conglomerate.', ""The company was established in 1997 to bring together Doğan's media properties."", 'These include the ""PostaHürriyet"" (including ""Fanatik""), and ""Radikal"" newspapers, the television channels Kanal D and CNN Türk, and the Doğan News Agency.', 'It also operated ""Doğan Kitap"", a major book publisher, and ""Doğan Music Company"", a major music label.', 'Doğan also operated print facilities and media distribution, for other newspapers and magazines as well as its own.', 'From 1979 to 2011, Doğan Media Group owned ""Milliyet"" and ""Vatan"".', 'In August 2014, Doğan Holding announced its plan to take over Doğan Media Group with all its assets and liabilities and absorb it.', 'The takeover was completed on 26 August 2014 and Doğan Media Group was dissolved.', ""Doğan Holding chairperson Begüm Faralyalı said the merger would lead to a 'more simple management'."", '22 March 2018 all the media group was sold to Demirören Media Group for $ 1.1 billion price.']], ['Hürriyet', ['Hürriyet (""Liberty"") is one of the major Turkish newspapers, founded in 1948.', ', it had the highest circulation of any newspaper in Turkey at around 319,000.', '""', 'Hürriyet"" has a mainstream, liberal and conservative outlook. ""', 'Hürriyet""s editorial line may be considered middle-market, combining entertainment value with comprehensive news coverage and a strong cadre of columnists.', '""Hürriyet"" has regional offices in Istanbul, Ankara, Izmir, Adana, Antalya and Trabzon, as well as a news network comprising 52 offices and 600 reporters in Turkey and abroad, all affiliated with Doğan News Agency, which primarily serves newspapers and television channels that are under the management of Doğan Media Group (Doğan Yayın Holding).', '""Hürriyet"" is printed in six cities in Turkey and in Frankfurt, Germany. , according to Alexa, its website was the tenth most visited in Turkey, the second most visited of a newspaper and the fourth most visited news website.', 'On 21 March 2018, Doğan Yayın Holding, the parent company of Hürriyet, was sold to Demirören Holding for $1.2 billion.', 'The Demirören Group is known for its pro-government stance.']]]",What is the year 10 years after when the publisher of Hürriyet was founded?,2007,1
"[['Vassar College', ['Vassar College  is a private, coeducational, liberal arts college in Poughkeepsie, New York.', 'Founded in 1861 by Matthew Vassar, it was the second degree-granting institution of higher education for women in the United States, closely following Elmira College.', 'It became coeducational in 1969, and now has a gender ratio at the national average.', ""The school is one of the historic Seven Sisters, the first elite women's colleges in the U.S., and has a historic relationship with Yale University, which suggested a merger before they both became coeducational institutions."", 'The college offers B.A. degrees in more than 50 majors and features a flexible curriculum designed to promote a breadth of studies.', 'Student groups at the college include theater and comedy organizations, acappella groups, club sports teams, volunteer and service groups, and a circus troupe.', ""Vassar College's varsity sports teams, known as the Brewers, play in the NCAA's Division III as members of the Liberty League."", 'Vassar tied for the 14th best liberal arts college in the nation in the 2020 annual ranking of ""U.S. News & World Report"", with admissions described as ""most selective"".', 'The total number of students attending the college is around 2,450.', 'The Vassar campus comprises over and more than 100 buildings, including two National Historic Landmarks and an additional National Historic Place.', 'A designated arboretum, the campus features more than 200 species of trees, a native plant preserve, and a ecological preserve.']], ['The Miscellany News', ['The Miscellany News (known colloquially as ""The Misc"") is the student newspaper of Vassar College.', 'Established in 1866, it is one of the oldest student newspapers in the country.', ""The paper is distributed every Thursday evening during Vassar's academic year to locations across the College's campus, including dormitories, dining and athletic facilities, communal areas, as well as off-campus locations in the Town of Poughkeepsie."", 'The paper welcomes contributions from all members of the College community—students, administrators, faculty, staff, alumnae/', 'i and trustees—and has a regular staff of roughly 40 to 50 student editors, reporters, photojournalists, multimedia correspondents and designers.', 'In addition to its print publication, the staff also publishes articles, videos, and photo essays daily on its Web site and blogs.']]]",What is the year 10 years after when the publisher of The Miscellany News was founded?,1871,1
"[['Thomas-Pierre-Joseph Taschereau', ['Thomas-Pierre-Joseph Taschereau was born in Quebec April 19, 1775, a son of Gabriel-Elzéar Taschereau, the patriarch of this important family, and his first wife, Marie-Louise-Élizabeth Bazin.', 'He studied at the Petit Séminaire of Quebec from 1784 to 1792.', 'He embarked on a military career and became a lieutenant in 1797.', 'Demobilized in 1802, he went into business and set up a distillery with his brother Jean-Thomas Taschereau, in the Sainte-Marie seigneury.', 'He married Françoise Boucher of Bruère de Montarville in 1805.', 'He continued the business at this property until the War of 1812 when he served with the rank of lieutenant-colonel in the militia.', 'Thomas-Pierre-Joseph became a member of the Legislative Council in 1818.', 'In 1821, he took an appointment as a judge in the district of Sainte-Marie and in 1823 a more important position in the district of Quebec.', 'He died on October 8, 1826 and was buried at Sainte-Marie.', 'He had two sons: Joseph-André and Pierre-Elzéar Taschereau.', ""The latter's son, Henri-Elzéar, would go on to be Chief Justice of Canada.""]], ['Joseph-André Taschereau', ['Joseph-André Taschereau, (November 30, 1806–March 30, 1867), was a lawyer, politician, and lastly, a judge.', 'He was born at Sainte-Marie, Quebec.', 'The son of Thomas-Pierre-Joseph Taschereau was a quiet child who early in life discovered a passion for the law.', 'He was educated at home and then articled and was admitted to the bar of Lower Canada in 1828 along with his brother Pierre-Elzéar Taschereau.', 'Joseph-André had less than a year of joint practice in Quebec City with his brother, Pierre-Elzéar, who in 1826 had inherited his father’s seigneury, returned to the manor at Sainte-Marie.', 'He continued his practice from 1830 to 1835 and then entered politics back in his home riding of Beauce.', 'He was a maverick in the Taschereau clan, representing quite different points of view from his political relatives.', 'He was elected a member of the Legislative Assembly of Lower Canada from 1835 to 1838.', 'In 1845, he won a by-election to become a member of the Legislative Assembly of the Province of Canada, filling the seat left vacant by the death of Pierre-Elzéar; he resigned when he was made a circuit judge in 1847.', 'In 1857 he was named judge of the Quebec Superior Court for the District of Kamouraska, where he had gone to live in 1852.', 'He died in Kamouraska, Quebec at the age of 60 years.', 'A bachelor, he devoted his life to politics and the law.', 'As a lawyer and judge, Taschereau excelled and his achievements put him on a level with other notables in this remarkable family.']]]",What is the ASCII code of the first letter of the first name of Joseph-André Taschereau's paternal grandfather in lowercase?,103,3
"[['William Hedges-White, 3rd Earl of Bantry', ['William Henry Hare Hedges- White, 3rd Earl of Bantry( 10 November 1801 – 15 January 1884) was an Anglo- Irish Conservative peer.', 'He was the second son of Richard White, 1st Earl of Bantry and Lady Margaret Anne Hare.', 'In 1840 he took the additional surname of Hedges after inheriting the estates of his great- uncle, Robert Hedges Eyre.', 'He served as High Sheriff of County Cork in 1848.', 'He succeeded his elder brother as Earl of Bantry following his death in 1868.', 'On 6 July 1869 Lord Bantry was elected as an Irish representative peer and took his seat in the House of Lords.', 'On 16 Apr 1845 he married Jane Herbert, and together they had six children.', 'His daughter Olivia Charlotte married Arthur Guinness.', 'He died in 1884 and was succeeded by his only son, William Hedges- White.']], ['Richard White, 1st Earl of Bantry', ['Richard White, 1st Earl of Bantry (6 August 1767 – 2 May 1851) was an Anglo-Irish soldier and peer.', 'White was born in a gentry family in Ireland.', 'He was the son and heir of Simon White of Bantry by his wife Frances Jane Hedges, daughter of Richard Hedges of Macroom Castle.', 'He was the grandson of Richard White, who had made an immense fortune through his work as a lawyer, and the family owned extensive estates in County Cork.', 'In 1797, White led forces loyal to the Kingdom of Great Britain against a French invasion force, which had landed at Bantry Bay in order to support Irish rebels in the lead up to the Irish Rebellion of 1798.', 'For his loyalty to The Crown, he was created Baron Bantry in the Peerage of Ireland on 24 March 1797.', 'He was also awarded a gold medal as a token of thanks from the City of Cork.', 'He was further honoured on 29 December 1800, when he was created Viscount Bantry.', 'Lord Bantry was awarded an earldom on 22 January 1816 when he was made Earl of Bantry and Viscount Beerhaven, both titles in the Peerage of Ireland.', 'He lived at Bantry House, Cork.', 'He married Lady Margaret Anne Hare, the daughter of William Hare, 1st Earl of Listowel, on 3 November 1799.', 'They had four children:']]]","What is the ASCII code of the first letter of the first name of William Hedges-White, 3Rd Earl Of Bantry's paternal grandfather in lowercase?",115,3
"[[""The Belles of St. Trinian's"", [""The Belles of St Trinian's is a British comedy film set in the fictional St Trinian's school, released in 1954."", 'It and its sequels were inspired by British cartoonist Ronald Searle.', 'Directed by Frank Launder and written by Launder and Sidney Gilliat, it was the first of a series of four films.', 'Alastair Sim stars in a dual role as the headmistress Miss Millicent Fritton and her twin brother Clarence Fritton.']], ['Frank Launder', ['Frank Launder (28 January 1906 – 23 February 1997) was a British writer, film director and producer, who made more than 40 films, many of them in collaboration with Sidney Gilliat.', 'He was born in Hitchin, Hertfordshire, England and worked briefly as a clerk before becoming an actor and then a playwright.', 'He began working as a screenwriter on British films in the 1930s, contributing the original story for the classic Will Hay comedy ""', 'Oh, Mr Porter!""', '(1937).', 'After writing a number of screenplays with Gilliat, including ""The Lady Vanishes"" (1938) for Alfred Hitchcock, and ""Night Train to Munich"" for Carol Reed; the two men wrote and directed the wartime drama ""Millions Like Us"" (1943).', 'After founding their own production company Individual Pictures, they produced a number of memorable dramas and thrillers including', '""I See a Dark Stranger"" (1945) and ""Green for Danger"" (1946), but were best known for their comedies including ""The Happiest Days of Your Life"" (1950) and most famously, the St Trinians series, based on Ronald Searle\'s cartoons set in an anarchic girls school.', ""He was married to actress Bernadette O'Farrell from 1950 until his death in Monaco."", 'The couple had two children.']]]",What is the ASCII code of the first letter of the first name of the spouse of the director of film The Belles Of St. Trinian'S in lowercase?,98,3
"[['Fiachnae mac Áedo Róin', ['Fiachnae mac Áedo Róin (died 789) was a Dál Fiatach ruler of the over-kingdom of Ulaid in Ireland.', 'He reigned from 750 to 789.', 'He was the son of Áed Róin (died 735) and brother of Bressal mac Áedo Róin (died 750), previous kings.', 'This family had their base in modern-day County Down, Northern Ireland.']], ['Eochaid mac Fiachnai', ['Eochaid mac Fiachnai (died 810) was a Dal Fiatach king of Ulaid, which is now Ulster, Ireland.', 'He was the son of Fiachnae mac Áedo Róin (died 789), a previous king.', 'He ruled from 790 to 810.', 'Eochaid first appears in the annals in 776.', 'In that year he gave his support to Tommaltach mac Indrechtaig (died 790) in a civil war among the rival Dal nAraide family.', 'They defeated and slew the incumbent king Cináed Ciarrge mac Cathussaig and his ally, Dúngal king of the Uí Tuirtri (an Airgialla tribe west of Lough Neagh) at the Battle of Drong.', 'His father had restored the fortunes of the Dal Fiatach dynasty but upon his death a succession struggle broke out.', 'Eochaid was challenged for the kingship by his kinsmen Tommaltach mac Cathail.', 'Tommaltach was the great grandson of Óengus, son of Máel Cobo mac Fiachnai (died 647) king of Ulaid and this branch (called the Cenél nÓengusa) threatened to be excluded from the throne.', 'Tommaltach was defeated and slain in battle by Eochaid.', 'However Tommlatach\'s branch of the family remained based in Leth Cathail (Lecale)-""Cathal\'s Half"" in southern modern County Down (also known as Mag Inis).', 'Tommaltach mac Indrechtaig of Dal nAraide had profited by the civil war among the Dal Fiatach to acquire the throne of all Ulaid.', 'He died the next year in 790 and in that year the annals also record a slaughter of the Dal Fiatach by the Dál nAraidi.', ""Whether this occurred before or after Tommaltach's death is uncertain."", 'Eochaid became King of Ulaid in 790.', 'In 801', 'The Ulaid went to war with the Uí Echach Cobo in the west part of county Down, probably to impose their authority.', 'The Ulaid were victorious and slew the King of Coba, Eochu mac Aililla.', 'On the side of the Ulaid, Cairell mac Cathail of the Leth Cathail branch was slain.', 'In 809 the high king Áed Oirdnide campaigned against Ulaid and defeated them ravaging from the Bann to Strangford Lough.', 'The motive for this conflict was apparently the killing of Dúnchú, superior of Tulach Léis (Tullylisk, County Down), by the Ulaid.', 'A civil war then followed in which Eochaid was defeated by his brother Cairell mac Fiachnai (died 819).', 'The annals report that Eochaid escaped from this battle and historians place his death in 810.', 'Eochaid may be associated with the establishment of Dún Echdach (Duneight) which became the royal seat of the Dal Fiatach as they shifted their power northwards by the 9th century from their old royal seat at Downpatrick.', 'The sons of Eochaid included Muiredach mac Eochada (died 839), a King of Ulaid, and Áed mac Eochada who fathered three kings of Ulaid.']]]",What is the ASCII code of the first letter of the first name of Eochaid Mac Fiachnai's paternal grandfather in lowercase?,225,3
"[['Sally Hemings', ['Sarah ""Sally"" Hemings (1773–1835) was an enslaved woman of mixed race owned by President Thomas Jefferson.', 'According to the ""New York Times"", there is a ""growing historical consensus"" among scholars that, as a widower, Jefferson had a long-term relationship with Hemings, and that he was the father of her six children, born after the death of his wife Martha Jefferson, who was the half-sister of Sally Hemings.', ""Four of Hemings' children survived to adulthood."", 'Hemings died in Charlottesville, Virginia, in 1835.', ""Sally Hemings came to Jefferson's home as an infant with her siblings and her mother, Betty, as part of his wife"", ""Martha's inheritance of slaves from her father, John Wayles."", 'Hemings was the youngest of six children that Betty Hemings is believed to have had with Wayles.', 'If true, she was three-quarters European and a half-sister of Martha Jefferson.', 'In 1787, Hemings, aged 14, accompanied Jefferson\'s youngest daughter Mary ""Polly"" to London and then to Paris, where the widowed Jefferson, aged 44 at the time, was serving as the United States Minister to France.', 'Hemings spent two years there.', 'Most historians believe Jefferson began using Sally Hemings for sex in France or soon after their return to Monticello.', ""Despite this, Hemings remained enslaved in Jefferson's house until his death."", 'In 2017, a room identified as her quarters at Monticello, under the south terrace, was discovered in an archeological restoration.', 'It is being restored and refurbished.', ""The historical question of whether Jefferson was the father of Hemings' children is the subject of the Jefferson–Hemings controversy."", ""Following renewed historic analysis in the late 20th century and a 1998 DNA study that found a match between the Jefferson male line and a descendant of Hemings' last son, Eston Hemings, the Monticello Foundation asserted that Jefferson fathered Eston and perhaps all five of her children."", 'However, there are some who disagree.', 'In 2018, the Thomas Jefferson Foundation of Monticello announced its plans to have an exhibit on the ""Life of Sally Hemings"" and affirmed that it was treating as a settled issue that Jefferson was the father of her known six children.', 'The exhibit opened in June 2018.', ""Hemings' children lived in Jefferson's house as slaves and were trained as artisans."", ""Jefferson freed all of Hemings' surviving children: Beverly, Harriet, Madison, and Eston, as they came of age; they were the only slave family freed by Jefferson."", 'They were seven-eighths European in ancestry, and three of the four entered white society as adults.', 'Descendants of those three identified as white.', 'After Jefferson\'s death, Hemings was ""given her time"" by his daughter in an informal freedom.', 'She lived her last nine years freely with her two younger sons in Charlottesville, Virginia.', 'She saw a grandchild born in the house her sons owned.']], ['Harriet Hemings', ['Harriet Hemings (May 1801 – 1870) was born into slavery at Monticello, the home of Thomas Jefferson, third President of the United States, in the first year of his presidency.', 'Most historians believe her father was Jefferson, who is now believed to have fathered, with his slave Sally Hemings, four children who survived to adulthood.', 'While Jefferson did not legally free Harriet, in 1822 when she was 21, he aided her ""escape"".', 'He saw that she was put in a stage coach and given $50 for her journey.', 'Her brother Madison Hemings later said she had gone to Washington, DC, to join their older brother Beverley Hemings, who had similarly left Monticello earlier that year.', 'Both entered into white society and married white partners of good circumstances.', 'While seven-eighths European in ancestry, all the Hemings children were legally slaves under Virginia law at the time, in accordance of which they inherited the status of their enslaved mother, who was three-quarters European in ancestry.', 'Jefferson freed the two youngest brothers in his will of 1826, so they were legally free.', 'Beverly and Harriet stayed in touch with their brother Madison Hemings for some time, and then Harriet stopped writing.']]]",How many fewer letters does the first name of Kelly Ballard have compared to the last name of Harriet Hemings's maternal grandfather?,1,5
"[['Philip of Ibelin (1180–1227)', ['Philip of Ibelin (1180-1227) was a leading nobleman of the Kingdom of Cyprus.', 'As a younger son of Balian of Ibelin and the dowager queen Maria Komnene, he came from the high Crusader nobility of the Kingdom of Jerusalem.']], ['Maria Komnene, Queen of Jerusalem', ['Maria Komnene or Comnena (Greek:', 'Μαρία Κομνηνή, c. 1154 – 1208/1217) was the second wife of King Amalric I of Jerusalem and mother of Queen Isabella I of Jerusalem.', 'She was the daughter of John Doukas Komnenos, sometime Byzantine ""dux"" in Cyprus, and Maria Taronitissa.', 'Her sister Theodora married Prince Bohemund III of Antioch, and her brother Alexios was briefly, in 1185, a pretender to the throne of the Byzantine Empire.']]]",How many fewer letters does the first name of Marlene Vargas have compared to the last name of Philip Of Ibelin (1180–1227)'s maternal grandmother?,4,5
"[['John Farrow', ['John Villiers Farrow, KGCHS (10 February 190427 January 1963) was an Australian-born American film director, producer and screenwriter.', 'In 1957, he won the Academy Award for Best Writing/Best Screenplay for ""Around the World in Eighty Days"" and in 1942, he was nominated as Best Director for ""Wake Island"".', ""He had seven children by his wife, actress Maureen O'Sullivan, including actress Mia Farrow.""]], ['Sorority House (film)', ['Sorority House is a 1939 American drama film starring Anne Shirley and James Ellison.', 'The film was directed by John Farrow and based upon the Mary Coyle Chase play named ""Chi House"".']]]",How many fewer letters does the first name of Janice Cardenas have compared to the last name of the spouse of the director of film Sorority House (Film)?,4,5
